Movie_Description,Action,Sci-Fi,Comedy,Crime,Western,Family,Drama,Horror,Romance,Thriller,Adventure
"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1,0,0,1,0,0,1,0,0,0,0
"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",1,0,0,0,0,0,0,0,0,0,1
"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1,0,0,0,0,0,1,0,0,0,1
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,1,1,0,0,0,0,0,0,0,0,1
"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",1,0,0,0,0,0,1,0,0,0,0
"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",1,0,0,0,0,0,1,0,0,0,0
"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",1,0,0,0,0,0,1,0,0,0,0
"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1,1,0,0,0,0,0,0,0,0,1
"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1,0,0,0,0,0,0,0,0,0,1
Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,1,0,0,0,0,0,1,0,0,0,0
"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",1,0,0,0,0,0,0,0,0,0,1
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1,0,0,1,0,0,1,0,0,0,0
"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",1,0,0,0,0,0,0,0,0,0,1
"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1,0,0,0,0,0,0,0,0,0,1
"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",1,0,0,0,0,0,1,0,0,0,0
"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",1,0,0,0,0,0,1,0,0,0,0
"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",1,0,0,1,0,0,1,0,0,0,0
"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",1,0,1,0,0,0,0,0,0,0,1
"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",1,0,0,1,0,0,1,0,0,0,0
"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",1,0,0,0,0,0,1,0,0,0,0
"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",1,0,1,1,0,0,0,0,0,0,0
"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",1,0,0,1,0,0,0,0,0,0,0
"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",1,0,0,0,0,0,1,0,0,0,0
"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",1,0,0,0,0,0,0,0,0,0,1
"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",1,1,0,0,0,0,1,0,0,0,0
"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",1,0,0,1,0,0,1,0,0,0,0
"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",1,0,0,1,0,0,1,0,0,0,0
"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",1,0,1,1,0,0,0,0,0,0,0
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1,1,0,0,0,0,0,0,0,0,1
"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",1,0,0,0,0,0,0,0,0,0,1
An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1,0,0,0,0,0,0,0,0,1,0
"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",1,0,0,0,0,0,1,0,0,0,0
A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1,0,0,0,0,0,1,0,0,1,0
"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",1,0,1,0,0,0,0,0,0,0,1
"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1,0,1,0,0,0,0,0,1,0,0
An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,1,0,1,0,0,0,0,0,0,0,1
"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",1,0,0,1,0,0,1,0,0,0,0
"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",1,1,0,0,0,0,1,0,0,0,0
The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,1,0,0,0,0,0,1,0,0,0,0
American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,1,0,0,0,0,0,1,0,0,0,0
"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",1,1,0,0,0,0,0,0,0,0,1
"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",1,0,0,0,0,0,0,0,0,0,1
"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",1,0,0,0,0,0,0,0,0,0,1
"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",1,0,1,1,0,0,0,0,0,0,0
"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",1,0,0,0,0,0,1,0,0,1,0
A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,1,0,0,0,0,0,0,0,0,0,1
"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1,1,0,0,0,0,0,0,0,0,0
"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",1,1,0,0,0,0,1,0,0,0,0
"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",1,0,1,0,0,0,0,0,0,0,1
"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",1,0,0,0,0,0,1,0,0,0,1
A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,1,0,0,1,0,0,1,0,0,0,0
A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.,1,0,0,0,0,0,1,0,0,0,0
A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.,1,0,0,0,0,0,1,0,0,0,0
"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",1,0,0,0,0,0,1,0,0,0,0
A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,1,0,0,0,0,0,0,0,0,1,0
An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,1,0,0,0,0,0,0,0,0,1,0
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,1,0,1,0,0,0,0,0,0,0,1
"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",1,0,0,0,0,0,1,0,0,0,0
A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,1,0,0,0,0,0,1,0,0,0,1
"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",1,0,0,1,0,0,1,0,0,0,0
"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",1,0,1,0,0,0,0,0,0,0,1
A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,1,0,0,1,0,0,1,0,0,0,0
"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",1,0,0,0,0,0,0,0,0,0,1
"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",1,0,0,0,0,0,1,0,0,0,0
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,1,0,0,0,0,0,1,0,0,0,1
"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",1,0,0,1,0,0,1,0,0,0,0
Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,1,1,0,0,0,0,0,0,0,0,1
Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,1,0,0,0,0,0,0,0,0,1,0
"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",1,0,0,0,0,0,1,0,0,0,0
"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",1,0,0,0,0,0,0,0,0,1,1
"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",1,0,0,1,0,0,0,0,0,1,0
"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",1,0,0,1,0,0,1,0,0,0,0
"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",1,0,0,0,0,0,0,0,0,0,1
Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,1,0,0,0,0,0,1,0,0,0,0
Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,1,0,1,0,0,0,0,0,1,0,0
"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",1,0,0,0,0,0,1,0,0,0,0
"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",1,0,0,0,0,0,1,0,0,1,0
"An unusual event creates a lightning which in turns gives superhuman abilies to an ambitious tailor ,whose responsibility is now to protect his home village from the evil plans of the antagonist.",1,0,1,0,0,0,0,0,0,0,1
"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",1,0,0,0,0,0,1,0,0,0,0
"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",1,0,0,1,0,0,0,0,0,1,0
"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",1,0,1,0,0,0,0,0,0,0,1
"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",1,0,0,1,0,0,0,0,0,1,0
"When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",1,0,0,0,0,0,0,0,0,1,0
The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,1,1,0,0,0,0,0,0,0,0,1
"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",1,0,0,1,0,0,1,0,0,0,0
"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",1,1,0,0,0,0,0,0,0,0,1
Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,1,1,0,0,0,0,0,0,0,1,0
The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,1,1,0,0,0,0,0,0,0,0,1
"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",1,0,0,0,0,0,1,0,0,0,1
"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",1,1,0,0,0,0,0,0,0,0,1
"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",1,0,0,0,0,0,1,0,0,0,1
"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",1,0,0,0,0,0,0,0,0,1,0
"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",1,1,0,0,0,0,1,0,0,0,0
A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,1,0,0,0,0,0,1,0,0,0,1
"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",1,0,1,1,0,0,0,0,0,0,0
A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,1,0,0,1,0,0,0,0,0,0,0
"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",1,0,1,0,0,0,0,0,0,0,1
"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",1,0,0,0,1,0,0,0,0,0,1
"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",1,0,0,0,1,0,1,0,0,0,0
"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",1,0,0,0,0,0,0,0,1,0,1
"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",1,0,1,1,0,0,0,0,0,0,0
"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",1,0,0,0,0,0,0,0,0,0,1
"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",1,0,0,0,0,0,1,0,0,0,0
"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",1,1,0,0,0,0,0,0,0,0,1
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,1,1,0,0,0,0,0,0,0,0,1
"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",1,1,0,0,0,0,0,0,0,0,1
"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",1,0,0,0,0,0,0,0,0,0,1
"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",1,1,0,0,0,0,0,0,0,0,1
"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",1,0,0,0,0,0,0,0,0,0,1
A secret agent exacts revenge on a serial killer through a series of captures and releases.,1,0,0,1,0,0,1,0,0,0,0
"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",1,0,0,1,0,0,0,0,0,0,0
A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,1,0,0,1,0,0,1,0,0,0,0
"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",1,0,0,0,0,0,0,0,0,1,1
"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",1,0,0,0,0,0,1,0,0,0,0
"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",1,0,0,1,0,0,0,0,0,1,0
"An action drama about a mysterious Hollywood stuntman and mechanic who moonlights as a getaway driver, and finds himself in trouble when he helps out his neighbor.",1,0,0,0,0,0,1,0,0,0,0
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,1,0,0,0,0,0,0,0,0,0,1
"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",1,0,0,0,0,0,1,0,0,0,1
"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",1,0,1,0,0,0,0,0,0,0,0
The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,1,1,0,0,0,0,0,0,0,0,1
An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,1,0,0,0,0,0,1,0,0,0,0
"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",1,0,0,1,0,0,0,0,0,0,0
"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",1,0,0,0,0,0,1,0,0,1,0
A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,1,0,0,0,0,0,0,0,0,0,1
"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",1,0,0,1,0,0,1,0,0,0,0
Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,1,0,0,0,0,0,0,0,0,0,1
A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,1,0,0,1,0,0,1,0,0,0,0
A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,1,0,0,0,0,0,0,1,0,0,1
"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",1,0,1,0,0,0,0,0,0,0,0
"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",1,0,0,0,0,0,0,0,0,0,1
A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,1,0,0,0,0,0,1,0,0,1,0
"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",1,0,1,0,0,0,0,0,0,0,1
"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",1,0,0,0,0,0,0,0,0,1,1
A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,1,0,0,1,0,0,1,0,0,0,0
A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,1,0,0,0,0,0,0,0,0,0,1
"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",1,0,1,0,0,0,0,0,0,0,1
A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,1,0,0,1,0,0,1,0,0,0,0
"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",1,0,0,0,0,0,0,0,0,0,1
Two astronauts work together to survive after an accident leaves them stranded in space.,1,1,0,0,0,0,1,0,0,0,0
"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",1,1,0,0,0,0,0,0,0,0,1
"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",1,1,0,0,0,0,0,0,0,0,1
A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,1,0,0,1,0,0,1,0,0,0,0
"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",1,0,1,0,0,0,0,0,0,0,0
"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",1,0,0,0,0,0,0,0,0,1,0
"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",1,0,0,1,0,0,1,0,0,0,0
"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis.",1,0,0,0,0,0,1,0,0,0,0
"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",1,0,0,0,0,0,1,0,0,0,1
"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",1,0,0,1,0,0,0,0,0,0,0
Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,1,0,0,0,0,0,0,0,0,1,0
A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,1,0,0,1,0,0,1,0,0,0,0
"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",1,0,0,1,0,0,0,0,0,1,0
Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,1,0,0,0,0,0,1,0,0,0,1
A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,1,0,0,1,0,0,0,0,0,1,0
"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",1,1,0,0,0,0,0,0,0,0,1
A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,1,0,0,0,0,0,0,0,0,1,1
An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,1,0,0,1,0,0,1,0,0,0,0
"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",1,0,0,1,0,0,1,0,0,0,0
"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",1,0,0,1,0,0,0,0,0,1,0
"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",1,0,0,0,0,0,0,0,0,0,1
"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1,0,0,1,0,0,0,0,0,0,0
